name_object,type_object,x_coord,y_coord
вул. Вишгородська – вул. Білицька,traffic_light_with_sound_signal,50.4971013018933,30.4562154500643
вул. Вишгородська – вул. Мостицька,traffic_light_with_sound_signal,50.5007485022414,30.4517693055692
вул. Вишгородська – вул. Пріорська,traffic_light_with_sound_signal,50.5084918905859,30.4507780339282
вул. Вишгородська – просп. Правди,traffic_light_with_sound_signal,50.5057548322244,30.4509955666016
пл. Тараса Шевченка – просп. Литовський,traffic_light_with_sound_signal,50.5211384812582,30.4495623067935
просп. Оболонський – вул. Левка Лук’яненка,traffic_light_with_sound_signal,50.5127361027387,30.4991253123603
вул. Героїв Дніпра  6,traffic_light_with_sound_signal,50.5174135270112,30.4868926623607
вул. Героїв Дніпра  40,traffic_light_with_sound_signal,50.5225724823235,30.5087011053535
вул. Героїв Дніпра  45,traffic_light_with_sound_signal,50.5225998586006,30.5046471137543
вул. Олександра Архипенка  4 ,traffic_light_with_sound_signal,50.4959343982866,30.510663864909
просп. Володимира Івасюка – вул. Олександра Архипенка,traffic_light_with_sound_signal,50.4963165358044,30.5177234032288
просп. Володимира Івасюка  4,traffic_light_with_sound_signal,50.4921694715247,30.5226027910116
просп. Володимира Івасюка – інститут Гідробіології,traffic_light_with_sound_signal,50.5023860145567,30.5129702310961
просп. Володимира Івасюка – вул. Прирічна,traffic_light_with_sound_signal,50.5136788684012,30.5074272221417
просп. Володимира Івасюка  51,traffic_light_with_sound_signal,50.5203885241336,30.5136690537921
просп. Володимира Івасюка  17-А,lowered_border,50.5033769537957,30.5093919265139
вул. Героїв полку «Азов»  32  32-А,lowered_border,50.5023944635869,30.5061389160073
вул. Героїв полку «Азов»  28  30,lowered_border,50.5017205067029,30.5050881594017
просп. Володимира Івасюка  9  9-А,lowered_border,50.499110918576,30.5133388689303
вул. Олександра Архипенка  3-А,lowered_border,50.4975523953403,30.5122003823957
вул. Йорданська  1-А,lowered_border,50.4919466971792,30.5064152567569
просп. Володимира Івасюка  19  19-А,lowered_border,50.5049446769884,30.5099667512111
вул. Йорданська  9-А  11-ЖБК,lowered_border,50.4950184651047,30.5068724488406
просп. Володимира Івасюка  1,lowered_border,50.4891012990001,30.5246552118453
вул. Героїв полку «Азов»  25,lowered_border,50.5023777499868,30.5044501978005
просп. Володимира Івасюка  37,lowered_border,50.5140446152902,30.5073467079449
вул. Героїв Дніпра  34-Б,lowered_border,50.5216433055898,30.504215919087
пл. Оболонська  3,lowered_border,50.5021885615749,30.5013782640021
вул. Героїв полку «Азов»  3,lowered_border,50.5060065145811,30.491541807791
вул. Левка Лук’яненка  3  3-В,lowered_border,50.5082637362538,30.4882580847448
вул. Левка Лук’яненка  5,lowered_border,50.508707769664,30.4888365121513
вул. Левка Лук’яненка  7  7-А,lowered_border,50.5094339624024,30.4894503462251
вул. Героїв полку «Азов»  3-Б,lowered_border,50.5069783118662,30.4937946666942
вул. Героїв полку «Азов»  13,lowered_border,50.5022029238751,30.4951171292836
вул. Героїв полку «Азов»  15/3,lowered_border,50.5023678370442,30.4969243395016
вул. Левка Лук’яненка  1,lowered_border,50.5088289458449,30.4860768146208
просп. Оболонський  15  15-А  15-Б,lowered_border,50.5100151027546,30.4972846054183
вул. Левка Лук’яненка  6-12,lowered_border,50.5110954181835,30.493955997648
просп. Оболонський  23-А,lowered_border,50.514776494248,30.4957696741644
просп. Оболонський  23-Б,lowered_border,50.5148087270996,30.4942604612318
просп. Оболонський  33-А,lowered_border,50.5180837930881,30.496610470211
вул. Героїв Дніпра  9,lowered_border,50.5187726008784,30.4891587378036
просп. Оболонський  37-В,lowered_border,50.5194281248389,30.4964214887192
вул. Героїв Дніпра  19,lowered_border,50.5210731010253,30.4907524225831
вул. Героїв Дніпра  22-А,lowered_border,50.5215003786855,30.4956540124537
просп. Володимира Івасюка  61-63,lowered_border,50.5251276509473,30.5148046385067
вул. Північна  48-А,lowered_border,50.5268525388604,30.5123696334412
вул. Героїв Дніпра  59,lowered_border,50.5233456388465,30.5086027564168
вул. Героїв Дніпра  61,lowered_border,50.524145086859,30.5087425418879
вул. Північна  14,lowered_border,50.5252587856191,30.5064755302851
вул. Північна  12,lowered_border,50.5261062355274,30.5059907091297
просп. Володимира Івасюка  54-А,lowered_border,50.5241364421945,30.5176645957403
просп. Володимира Івасюка  44,lowered_border,50.5201521237516,30.515704196105
вул. Ярослава Івашкевича  8  8-А,lowered_border,50.5046520245763,30.4543206570966
вул. Автозаводська  25  27,lowered_border,50.5068080462899,30.4573979168632
вул. Ярослава Івашкевича  14,lowered_border,50.5043487460358,30.455876827686
вул. Мукачівська  9,lowered_border,50.5043611889595,30.4549907220426
вул. Полярна  6  6-Б,lowered_border,50.5181092353246,30.4606447529017
вул. Бережанська  16-А,lowered_border,50.5169364652277,30.4606908639919
вул. Академіка Навашина  13,lowered_border,50.518662476681,30.4526753936177
вул. Вишгородська  44-А,lowered_border,50.5135901404874,30.4509383379598
вул. Бережанська  10  12,lowered_border,50.5147676451431,30.4609512508555
вул. Полярна  5,lowered_border,50.521141688231,30.4541562607434
вул. Рокоссовського  7,lowered_border,50.5247266556244,30.4596810050384
просп. Литовський  6-А,lowered_border,50.5234180792351,30.4541976572956
вул. Рокоссовського  8-А,lowered_border,50.5226099643015,30.4603392849654
вул. Квітки Цісик  51-А,lowered_border,50.5466138962601,30.3475332751773
вул. Квітки Цісик  23,lowered_border,50.5346342063214,30.3632638813627
вул. Петра Калнишевського  4-А,lowered_border,50.5260882861852,30.4681858574926
Сквер на вул. Прирічна  31,traffic_light_with_sound_signal,50.5258046160281,30.5197439790887
Сквер на просп. Володимира Івасюка  51 ,traffic_light_with_sound_signal,50.5204836921986,30.5131209970749
Сквер на просп. Володимира Івасюка  49 - 53 – вул. Героїв Дніпра  62-62Б,traffic_light_with_sound_signal,50.5210595272136,30.5116673823984
Сквер на вул. Вишгородська  10-12,traffic_light_with_sound_signal,50.5006902158911,30.4521993444788
Сквер на просп. Маршала Рокоссовського  2,traffic_light_with_sound_signal,50.5201530144921,30.458474574329
Сквер на просп. Литовському  4,traffic_light_with_sound_signal,50.5224001595906,30.4527729587647
Сквер на вул. Вишгородська  6-10,traffic_light_with_sound_signal,50.5006303072377,30.4527975589267
Сквер на проспекті Голосіївському  5-15,ramp,50.4029669877851,30.5190614225454
Сквер на просп. Голосіївський  114  корпус 2,ramp,50.3866552655957,30.4884911353379
Парк з водними об’єктами вздовж просп. Шухевича (між просп. Червоної Калини та вул. Бальзака),ramp,50.4963662717735,30.5862406938346
Парк «Фестивальний (вздовж просп. Червоної Калини від вул. Лифаря до вул. Драйзера),ramp,50.5102377198172,30.6097358100447
Сквер ім. В’ячеслава Веремія,ramp,50.5050406742247,30.5877653894199
Парк БК ДВРЗ,ramp,50.4520617312059,30.6782588054876
Парк біля озера Тельбін,ramp,50.4265077935829,30.6067740391342
Парк «Перемога»,ramp,50.4613153871638,30.6058047038981
Парк відпочинку «Наталка» та парк відпочинку в урочищі «Наталка»,ramp,50.4962626392161,30.5236227841017
Сквер на площі Оболонська  6,ramp,50.5008677463372,30.5020336107129
Сквер по вул. Героїв Дніпра біля будинків № 35-37,ramp,50.5228511909003,30.4912047602618
Парк «Потапова»,ramp,50.4246593766524,30.3874275149645
Парк «Інтернаціональний»,ramp,50.4306851386014,30.3810914864236
Сквер вул. Чорнобильська  12,ramp,50.4589955031844,30.3476235598757
Сквер вул. Чорнобильська  3,ramp,50.4560027731548,30.34473805149
Сквер біля школи №304 вул. Прилужна,ramp,50.4605703580023,30.3417785272087
"Парк ""Відрадний""",ramp,50.4332201760032,30.4265308214755
Парк ім. М. Зерова,ramp,50.4303713213915,30.4694452217691
Сквер ім. Б. Немцова,ramp,50.4353226874451,30.4731603509463
Сквер по вул. В. Гетьмана ,ramp,50.4518619174882,30.4456387704033
Сквер по вул. Машинобудівній  25-А ,ramp,50.4471300322941,30.436861574188
Парк ім. Т.Г. Шевченка,ramp,50.44176112342,30.5129516727125
Сквер ім. О. Гончара,ramp,50.4490880320502,30.5043198355477
Сквер на вул. Січових Стрільців  80-84,ramp,50.4580289595782,30.4865725456039
Сквер на вул. Січових Стрільців  89-А,ramp,50.4580163336707,30.4855097654217
Парк «Веселка»,ramp,50.4730901504564,30.3975713350276
Парк Сирецький,ramp,50.4676463813622,30.4386454638549
Народницький парк,ramp,50.4291207421196,30.5688707211903
Парк-пам’ятка садово-паркового мистецтва «Хрещатий»,ramp,50.4533063016379,30.5316689156071
"Пляж ""Галерний""",ramp,50.3700798426795,30.5535271386633
Парки  сквери,lowered_border,50.3898769432798,30.5005383558373
Парки  сквери,lowered_border,50.3807775133341,30.4461399347025
Парки  сквери,lowered_border,50.3881403327806,30.4945712562838
Парки  сквери,lowered_border,50.4031160938391,30.5125060034936
Парки  сквери,lowered_border,50.4058037616543,30.5210268064972
Парки  сквери,lowered_border,50.4036130410376,30.5245528354128
Парки  сквери,lowered_border,50.3964860403337,30.533877216097
Парки  сквери,lowered_border,50.4403682254198,30.5049061849754
Парки  сквери,lowered_border,50.3714090658234,30.4634237469039
Парки  сквери,lowered_border,50.5228511909003,30.4912047602618
Парки  сквери,lowered_border,50.4296348270055,30.5364409051733
Сквер ім. В’ячеслава Веремія,tactile_marking,50.5050406742247,30.5877653894199
Парк відпочинку «Наталка» та парк відпочинку в урочищі «Наталка»,tactile_marking,50.4962626392161,30.5236227841017
Сквер по вул. Героїв Дніпра біля будинків № 35-37,tactile_marking,50.5228511909003,30.4912047602618
Парк «Орлятко»,tactile_marking,50.4442141599682,30.4277730065183
Сквер біля кінотеатру «Супутник»,tactile_marking,50.4383937510778,30.458364427896
Сквер на розі вул. М. Донця та проспекту Відрадного,tactile_marking,50.4339654679008,30.4329501933557
Сквер по вул. Машинобудівній  25-А ,tactile_marking,50.4471300322941,30.436861574188
Парк «Партизанської Слави»,toilet_for_people_with_disabilities,50.4169805843474,30.6655022459346
Парк на Дніпровській набережній в районі затоки Берковщина ,toilet_for_people_with_disabilities,50.408729512497,30.6008753520494
Фітнес-парк біля озера Лебедине ,toilet_for_people_with_disabilities,50.4032869584009,30.6439224245956
Парк з водними об’єктами вздовж просп. Шухевича (між просп. Червоної Калини та вул. Бальзака),toilet_for_people_with_disabilities,50.4963662717735,30.5862406938346
Парк «Перемога»,toilet_for_people_with_disabilities,50.4613153871638,30.6058047038981
Парк відпочинку «Наталка» та парк відпочинку в урочищі «Наталка»,toilet_for_people_with_disabilities,50.4962626392161,30.5236227841017
Парк «Совки»,toilet_for_people_with_disabilities,50.4390449333645,30.37471504005
"Парк ""Відрадний""",toilet_for_people_with_disabilities,50.4332201760032,30.4265308214755
Парк ім. М. Зерова,toilet_for_people_with_disabilities,50.4303713213915,30.4694452217691
Парк «Веселка»,toilet_for_people_with_disabilities,50.4730901504564,30.3975713350276
Парк Сирецький,toilet_for_people_with_disabilities,50.4676463813622,30.4386454638549
